SlNo,Gender,Gender-B,Percent_SSC,Board_SSC,Board_CBSE,Board_ICSE,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Degree_Engg,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Placement,Placement_B,Salary
1,M,0,62,Others,0,0,88,Others,Commerce,52,Science,0,0,MAT,1,55,55,58.8,Marketing & HR,50,65,74,Placed,1,270000
2,M,0,76.33,ICSE,0,1,75.33,Others,Science,75.48,Computer Applications,0,1,MAT,1,86.5,86.5,66.28,Marketing & Finance,69,70,75,Placed,1,200000
3,M,0,72,Others,0,0,78,Others,Commerce,66.63,Engineering,1,0,None,0,0,0,52.91,Marketing & Finance,50,61,59,Placed,1,240000
4,M,0,60,CBSE,1,0,63,CBSE,Arts,58,Management,0,0,MAT,1,75,75,57.8,Marketing & Finance,54,66,62,Placed,1,250000
5,M,0,61,CBSE,1,0,55,ISC,Science,54,Engineering,1,1,MAT,1,66,66,59.43,Marketing & HR,52,65,67,Placed,1,180000
6,M,0,55,ICSE,0,1,64,CBSE,Commerce,50,Commerce,0,0,None,0,0,0,56.81,Marketing & Finance,53,70,53,Placed,1,300000
7,F,1,70,Others,0,0,54,Others,Science,65,Others,0,2,None,0,0,0,59.8,Marketing & HR,63,56,50,Placed,1,260000
8,M,0,68,ICSE,0,1,77,ISC,Commerce,72.5,Management,0,0,MAT,1,43.12,43.12,57.23,Marketing & Finance,74,72,50,Placed,1,235000
9,M,0,82.8,CBSE,1,0,70.6,CBSE,Commerce,69.3,Commerce,0,0,MAT,1,96.8,96.8,55.5,Marketing & Finance,65,76,70,Placed,1,425000
10,F,1,59,CBSE,1,0,74,CBSE,Arts,59,Management,0,1,None,0,0,0,63.83,Marketing & HR,50,59,77,Placed,1,240000
11,F,1,79.6,Others,0,0,87,ISC,Commerce,72.35,Management,0,0,K-MAT,1,98.69,98.69,69.78,Marketing & HR,71,67,60,Not Placed,0,0
12,M,0,58,Others,0,0,59,Others,Commerce,48,Commerce,0,0,MAT,1,79,79,54.01,Marketing & Finance,54,78,54,Placed,1,250000
13,M,0,60,Others,0,0,52.8,Others,Science,73.25,Computer Applications,0,1,MAT,1,55,55,51.58,Marketing & Finance,53,52,58,Placed,1,180000
14,M,0,66,CBSE,1,0,66.33,CBSE,Commerce,66.72,Commerce,0,0,None,0,0,0,66.92,Marketing & Finance,70,73,64,Placed,1,428000
15,M,0,83,Others,0,0,51,Others,Science,51,Engineering,1,0,CAT,1,33,33,58.21,Marketing & HR,50,68,63,Placed,1,450000
16,F,1,49,Others,0,0,52.2,Others,Commerce,85,Commerce,0,0,MAT,1,74.28,74.28,53.29,Marketing & Finance,50,65,74,Not Placed,0,0
17,M,0,68,Others,0,0,80,Others,Commerce,70,Commerce,0,0,None,0,0,0,58.94,Marketing & Finance,54,56,50,Placed,1,300000
18,M,0,37.33,Others,0,0,47.4,Others,Commerce,35.5,Commerce,0,0,None,0,0,0,54.78,Marketing & HR,50,57,50,Placed,1,240000
19,M,0,79,CBSE,1,0,59,CBSE,Science,60,Science,0,1,MAT,1,67,67,62.14,Marketing & Finance,54,78,62,Placed,1,252000
20,M,0,66,Others,0,0,46,Others,Commerce,65,Management,0,0,PGCET,1,0,0,54.65,Marketing & Finance,53,60,65,Not Placed,0,0
21,M,0,68.4,ICSE,0,1,85.6,ISC,Commerce,72,Commerce,0,1,CAT,1,70,70,63.26,Marketing & Finance,75,72,57,Placed,1,280000
22,M,0,70,CBSE,1,0,76,CBSE,Commerce,68,Management,0,0,MAT,1,91.34,91.34,61.29,Marketing & Finance,63,63,75,Placed,1,231000
23,M,0,59,CBSE,1,0,75,CBSE,Commerce,65,Management,0,0,MAT,1,35,35,62.51,Marketing & Finance,59,76,56,Placed,1,224000
24,M,0,63,ICSE,0,1,78,ISC,Commerce,65,Management,0,0,MAT,1,54,54,52.21,Marketing & Finance,53,74,50,Placed,1,120000
25,M,0,50,ICSE,0,1,53,CBSE,Commerce,54,Management,0,1,MAT,1,62,62,60.85,Marketing & HR,57,62,72,Placed,1,260000
26,M,0,69,Others,0,0,75,CBSE,Commerce,49,Commerce,0,1,MAT,1,75,75,60.77,Marketing & Finance,61,73,62,Placed,1,300000
27,M,0,52,Others,0,0,54,Others,Commerce,58,Management,0,0,None,0,0,0,51.75,Marketing & HR,53,51,50,Placed,1,120000
28,M,0,49,Others,0,0,55,Others,Science,57,Science,0,1,MAT,1,49,49,58.56,Marketing & Finance,50,59,55,Placed,1,120000
29,M,0,64.6,CBSE,1,0,63.4,CBSE,Commerce,76.3,Commerce,0,1,MAT,1,60,60,63.7,Marketing & Finance,71,69,70,Placed,1,250000
30,F,1,50,CBSE,1,0,60,Others,Science,71,Management,0,0,MAT,1,62,62,65.04,Marketing & HR,55,61,59,Placed,1,180000
31,F,1,74,ICSE,0,1,84,ISC,Commerce,53,Commerce,0,0,MAT,1,68,68,68.63,Marketing & Finance,71,86,54,Placed,1,218000
32,M,0,58,CBSE,1,0,70,Others,Science,67.75,Engineering,1,1,None,0,0,0,57.68,Marketing & Finance,67,74,53,Placed,1,360000
33,M,0,67,CBSE,1,0,50,CBSE,Commerce,52,Commerce,0,0,MAT,1,76,76,54.96,Marketing & HR,50,63,59,Placed,1,150000
34,F,1,75,Others,0,0,77,Others,Commerce,73,Management,0,0,MAT,1,48,48,64.19,Marketing & HR,58,57,80,Placed,1,250000
35,F,1,60,CBSE,1,0,72,CBSE,Commerce,65,Management,0,1,MAT,1,72,72,64.66,Marketing & Finance,57,74,81,Placed,1,200000
36,M,0,55,CBSE,1,0,61.2,CBSE,Commerce,59.6,Management,0,1,MAT,1,60,60,62.54,Marketing & Finance,67,66,58,Placed,1,300000
37,M,0,78,Others,0,0,52,ISC,Science,66,Management,0,1,K-MAT,1,79,79,52.41,Marketing & IB,53,57,54,Placed,1,330000
38,M,0,50.08,Others,0,0,48.5,Others,Commerce,51.61,Commerce,0,1,PGCET,1,0,0,56.61,Marketing & HR,50,71,59,Placed,1,265000
39,M,0,56,Others,0,0,54,Others,Science,59,Management,0,0,CAT,1,70,70,61.83,Marketing & HR,54,71,68,Placed,1,340000
40,F,1,60,CBSE,1,0,75,CBSE,Commerce,68,Commerce,0,1,MAT,1,60,60,67.28,Marketing & Finance,58,71,65,Not Placed,0,0
41,F,1,68,CBSE,1,0,74,CBSE,Commerce,70,Management,0,2,MAT,1,68,68,64.08,Marketing & HR,63,79,77,Placed,1,177600
42,F,1,40,CBSE,1,0,40,Others,Commerce,51,Management,0,0,PGCET,1,49,49,51.75,Marketing & Finance,50,59,53,Not Placed,0,0
43,M,0,77.12,Others,0,0,85,Others,Commerce,56.77,Management,0,0,CAT,1,35,35,56.34,Marketing & IB,56,66,58,Not Placed,0,0
44,M,0,52,Others,0,0,62,Others,Arts,66,Management,0,1,MAT,1,50.48,50.48,77.89,Marketing & Finance,82,80,68,Placed,1,236000
45,M,0,54,Others,0,0,60,Others,Commerce,60,Commerce,0,0,MAT,1,50,50,56.7,Marketing & HR,55,69,59,Placed,1,265000
46,M,0,52,CBSE,1,0,51,Others,Science,62,Management,0,1,None,0,0,0,57.74,Marketing & HR,58,64,52,Placed,1,200000
47,F,1,76,Others,0,0,73,Others,Commerce,83,Commerce,0,0,MAT,1,95,95,69.06,Marketing & Finance,78,73,80,Placed,1,393000
48,F,1,64.8,Others,0,0,52.8,Others,Science,68.23,Engineering,1,0,MAT,1,55.53,55.53,68.81,Marketing & IB,68,63,60,Placed,1,360000
49,F,1,74.4,Others,0,0,52,Others,Science,58.74,Science,0,1,MAT,1,92,92,63.62,Marketing & Finance,62,87,73,Placed,1,300000
50,M,0,74.5,CBSE,1,0,58,CBSE,Science,58,Management,0,0,None,0,0,0,53.42,Marketing & IB,56,60,56,Placed,1,250000
51,M,0,73.5,Others,0,0,94.7,Others,Science,76.86,Engineering,1,0,MAT,1,97.4,97.4,74.01,Marketing & Finance,60,69,82,Placed,1,360000
52,F,1,57.58,Others,0,0,59.6,CBSE,Commerce,50.2,Commerce,0,1,MAT,1,76,76,65.33,Marketing & Finance,65,75,69,Placed,1,180000
53,F,1,68,CBSE,1,0,69,CBSE,Commerce,40,Commerce,0,0,MAT,1,74,74,62.8,Marketing & HR,55,59,82,Placed,1,180000
54,M,0,69,Others,0,0,51,Others,Science,59,Management,0,1,None,0,0,0,58.53,Marketing & HR,53,66,55,Placed,1,270000
55,M,0,66,Others,0,0,76,Others,Commerce,60,Management,0,1,MAT,1,94,94,57.55,Marketing & Finance,51,60,71,Placed,1,240000
56,M,0,60.8,Others,0,0,71.83,Others,Commerce,62.41,Commerce,0,0,CAT,1,41.38,41.38,60.76,Marketing & Finance,53,73,78,Placed,1,300000
57,M,0,58,Others,0,0,62,Others,Commerce,62,Management,0,0,MAT,1,68,68,57.69,Marketing & HR,54,70,58,Placed,1,265000
58,M,0,73.76,Others,0,0,73.5,Others,Commerce,63.5,Management,0,2,MAT,1,73.35,73.35,64.15,Marketing & Finance,68,78,65,Placed,1,350000
59,M,0,70,CBSE,1,0,75,CBSE,Commerce,60,Commerce,0,0,MAT,1,77,77,51.29,Marketing & Finance,60,56,52,Not Placed,0,0
60,F,1,59,CBSE,1,0,68.5,CBSE,Commerce,69,Management,0,0,MAT,1,52,52,56.7,Marketing & HR,58,63,50,Placed,1,250000
61,F,1,75,CBSE,1,0,58,CBSE,Science,69,Science,0,0,MAT,1,64,64,58.32,Marketing & HR,62,64,50,Placed,1,180000
62,F,1,56,ICSE,0,1,78,ISC,Commerce,62.4,Management,0,0,MAT,1,50.89,50.89,62.21,Marketing & HR,57,70,60,Placed,1,278000
63,M,0,52,CBSE,1,0,57,CBSE,Commerce,47,Management,0,1,MAT,1,83,83,57.61,Marketing & Finance,50,74,74,Placed,1,150000
64,M,0,53,Others,0,0,55,Others,Commerce,42,Commerce,0,0,None,0,0,0,52.56,Marketing & Finance,50,73,50,Not Placed,0,0
65,F,1,84,Others,0,0,60,Others,Science,79,Management,0,1,MAT,1,88,88,72.78,Marketing & Finance,73,83,77,Placed,1,260000
66,M,0,67,Others,0,0,54,Others,Science,54,Arts,0,1,MAT,1,68.44,68.44,62.77,Marketing & HR,59,68,60,Placed,1,180000
67,F,1,64,CBSE,1,0,75,CBSE,Commerce,70,Commerce,0,0,MAT,1,71,71,62.74,Marketing & HR,63,71,62,Placed,1,300000
68,M,0,54,CBSE,1,0,47,CBSE,Commerce,59,Management,0,0,MAT,1,64,64,51.45,Marketing & Finance,64,63,56,Not Placed,0,0
69,M,0,82.6,CBSE,1,0,64,CBSE,Science,56,Management,0,1,PGCET,1,0,0,68.85,Marketing & Finance,71,76,60,Placed,1,400000
70,F,1,76,CBSE,1,0,73,CBSE,Science,59.6,Engineering,1,0,MAT,1,58,58,55.47,Marketing & HR,58,59,58,Placed,1,320000
71,F,1,70,Others,0,0,50,Others,Science,60,Management,0,0,MAT,1,53.7,53.7,56.86,Marketing & HR,53,63,56,Placed,1,240000
72,M,0,78,Others,0,0,63,Others,Science,58,Engineering,1,0,MAT,1,93,93,62.56,Marketing & Finance,58,67,70,Placed,1,411000
73,F,1,75,ICSE,0,1,74,Others,Commerce,78,Commerce,0,0,MAT,1,60,60,66.72,Marketing & Finance,71,69,67,Placed,1,287000
74,F,1,82,Others,0,0,68.16,Others,Commerce,71,Management,0,2,MAT,1,65,65,69.76,Marketing & HR,67,70,79,Placed,1,198000
75,M,0,52,Others,0,0,42,CBSE,Science,69,Others,0,0,MAT,1,63,63,51.21,Marketing & Finance,51,50,50,Not Placed,0,0
76,M,0,84,Others,0,0,84,Others,Commerce,64,Commerce,0,0,MAT,1,95,95,62.9,Marketing & HR,68,59,72,Placed,1,300000
77,F,1,74,Others,0,0,68,Others,Commerce,79,Management,0,1,MAT,1,89,89,69.7,Marketing & Finance,68,77,76,Placed,1,200000
78,F,1,84,CBSE,1,0,72,CBSE,Science,78,Science,0,0,MAT,1,58,58,66.53,Marketing & HR,71,58,50,Placed,1,180000
79,F,1,78.89,Others,0,0,79.98,Others,Science,71.6,Management,0,0,MAT,1,68,68,71.63,Marketing & HR,71,76,64,Not Placed,0,0
80,M,0,55,ICSE,0,1,52,ISC,Commerce,51,Management,0,1,MAT,1,78,78,54.55,Marketing & Finance,50,75,51,Placed,1,204000
81,M,0,58,Others,0,0,54,Others,Commerce,64,Management,0,0,MAT,1,64,64,62.46,Marketing & Finance,50,71,60,Placed,1,250000
82,F,1,53,Others,0,0,40,Others,Arts,54,Arts,0,1,MAT,1,65,65,56.11,Marketing & HR,54,66,75,Not Placed,0,0
83,F,1,72.2,CBSE,1,0,70.2,CBSE,Science,64.4,Management,0,0,MAT,1,65,65,62.98,Marketing & HR,52,58,75,Placed,1,200000
84,M,0,56.4,Others,0,0,66.83,Others,Commerce,48.42,Commerce,0,0,MAT,1,97.33,97.33,62.27,Marketing & Finance,72,80,65,Placed,1,275000
85,M,0,59.4,CBSE,1,0,66.12,CBSE,Commerce,58.2,Management,0,0,MAT,1,67,67,62.65,Marketing & HR,54,65,53,Placed,1,192000
86,F,1,46,CBSE,1,0,62,CBSE,Commerce,58,Management,0,0,None,0,0,0,57.83,Marketing & Finance,54,78,65,Placed,1,240000
87,F,1,65,CBSE,1,0,78,Others,Commerce,75,Commerce,0,1,CAT,1,53,53,60.91,Marketing & Finance,56,73,69,Placed,1,300000
88,M,0,75,Others,0,0,65,Others,Science,59,Computer Applications,0,1,None,0,0,0,56.19,Marketing & Finance,57,50,71,Not Placed,0,0
89,F,1,43.89,Others,0,0,48.83,Others,Commerce,55,Commerce,0,2,MAT,1,71.2,71.2,65.49,Marketing & HR,66,74,53,Not Placed,0,0
90,M,0,77,Others,0,0,65,Others,Science,70,Science,0,0,MAT,1,87,87,71.04,Marketing & HR,70,73,84,Placed,1,450000
91,F,1,71,ICSE,0,1,52,Others,Science,65,Management,0,0,MAT,1,78,78,65.56,Marketing & HR,66,84,77,Placed,1,216000
92,M,0,55.4,CBSE,1,0,61.6,Others,Science,59,Management,0,0,MAT,1,71,71,52.71,Marketing & HR,56,67,52,Placed,1,220000
93,M,0,58,ICSE,0,1,59,ISC,Commerce,56,Management,0,0,None,0,0,0,55.1,Marketing & Finance,50,57,50,Placed,1,216000
94,M,0,40.5,Others,0,0,60.14,Others,Commerce,52.37,Commerce,0,1,MAT,1,42.26,42.26,61.31,Marketing & Finance,56,64,61,Not Placed,0,0
95,M,0,68,Others,0,0,68,Others,Science,70,Engineering,1,0,CAT,1,68,68,67.31,Marketing & Finance,53,76,78,Placed,1,300000
96,M,0,55,Others,0,0,66.4,Others,Commerce,55.4,Commerce,0,0,MAT,1,68,68,66.88,Marketing & Finance,55,70,62,Placed,1,240000
97,M,0,63,ICSE,0,1,73,ISC,Commerce,72,Commerce,0,0,MAT,1,80,80,63.59,Marketing & Finance,60,72,58,Placed,1,360000
98,M,0,58,ICSE,0,1,78,ISC,Commerce,63,Commerce,0,0,None,0,0,0,60.29,Marketing & Finance,54,62,53,Not Placed,0,0
99,M,0,69,CBSE,1,0,54,Others,Science,64,Management,0,0,MAT,1,74,74,57.99,Marketing & Finance,50,66,60,Placed,1,268000
100,F,1,50,CBSE,1,0,69,CBSE,Commerce,42,Arts,0,0,None,0,0,0,56.45,Marketing & HR,50,72,57,Not Placed,0,0
101,M,0,44.6,CBSE,1,0,60.58,Others,Science,68.11,Computer Applications,0,0,MAT,1,57.6,57.6,56.66,Marketing & Finance,54,63,62,Placed,1,265000
102,M,0,69,CBSE,1,0,65,CBSE,Science,68,Management,0,1,MAT,1,60,60,57.24,Marketing & Finance,50,67,51,Placed,1,260000
103,M,0,77.44,Others,0,0,77.83,Others,Commerce,71,Management,0,0,None,0,0,0,67.53,Marketing & Finance,60,76,77,Placed,1,240000
104,M,0,81.2,CBSE,1,0,70.4,CBSE,Commerce,62.89,Commerce,0,0,MAT,1,61.6,61.6,62.48,Marketing & Finance,60,77,62,Placed,1,300000
105,F,1,83.5,Others,0,0,59.2,Others,Science,63.4,Science,0,0,MAT,1,59,59,59.69,Marketing & Finance,62,79,71,Placed,1,240000
106,M,0,53.44,Others,0,0,51.66,Others,Commerce,57,Commerce,0,0,None,0,0,0,52.82,Marketing & Finance,54,53,50,Placed,1,180000
107,M,0,79,CBSE,1,0,65,CBSE,Commerce,65,Management,0,0,MAT,1,44.56,44.56,64.75,Marketing & Finance,64,67,66,Placed,1,240000
108,M,0,50,ICSE,0,1,64,Others,Commerce,50,Commerce,0,0,CAT,1,13,13,57.76,Marketing & Finance,50,76,50,Placed,1,400000
109,M,0,52.5,Others,0,0,53.4,Others,Commerce,55.21,Management,0,1,None,0,0,0,72,Marketing & Finance,73,79,55,Not Placed,0,0
110,M,0,47.5,Others,0,0,59,Others,Arts,54.5,Arts,0,1,None,0,0,0,52.43,Marketing & Finance,54,64,56,Placed,1,180000
111,M,0,73.4,Others,0,0,75,Others,Science,64.38,Management,0,1,CAT,1,78,78,76.72,Marketing & HR,87,79,65,Placed,1,250000
112,F,1,44,CBSE,1,0,51,CBSE,Commerce,45,Commerce,0,0,None,0,0,0,54.76,Marketing & Finance,50,76,66,Not Placed,0,0
113,F,1,82.3,Others,0,0,73,Others,Science,72.3,Science,0,1,None,0,0,0,69.35,Marketing & Finance,74,68,84,Placed,1,295000
114,M,0,66,Others,0,0,78,Others,Commerce,70,Management,0,0,MAT,1,68.5,68.5,59.5,Marketing & HR,71,64,59,Placed,1,180000
115,F,1,68,Others,0,0,79,Others,Science,64,Engineering,1,0,None,0,0,0,62.89,Marketing & HR,52,61,69,Placed,1,300000
116,M,0,77,Others,0,0,68,Others,Commerce,73,Commerce,0,0,MAT,1,61,61,58.78,Marketing & Finance,52,68,74,Placed,1,240000
117,M,0,59,Others,0,0,50,Others,Science,59,Management,0,0,MAT,1,89.69,89.69,57.1,Marketing & HR,55,63,59,Placed,1,120000
118,M,0,65,CBSE,1,0,57,CBSE,Commerce,57,Commerce,0,0,None,0,0,0,59.1,Marketing & Finance,54,59,61,Placed,1,250000
119,M,0,80,Others,0,0,69,Others,Science,62,Management,0,0,MAT,1,68.92,68.92,58.46,Marketing & HR,56,64,71,Placed,1,275000
120,M,0,77.92,Others,0,0,75.5,Others,Commerce,63,Commerce,0,0,MAT,1,68.71,68.71,60.99,Marketing & Finance,67,77,60,Placed,1,275000
121,F,1,77.7,CBSE,1,0,50,CBSE,Commerce,78.7,Computer Applications,0,0,MAT,1,79,79,59.24,Marketing & HR,58,64,74,Placed,1,150000
122,M,0,70,ICSE,0,1,68,ISC,Science,62,Engineering,1,1,MAT,1,70,70,68.07,Marketing & Finance,66,64,73,Placed,1,275000
123,M,0,73,Others,0,0,48,Others,Science,56,Commerce,0,0,None,0,0,0,60.03,Marketing & HR,50,73,58,Placed,1,300000
124,M,0,44,Others,0,0,72,Others,Commerce,59,Management,0,0,MAT,1,41,41,58.75,Marketing & IB,50,58,57,Placed,1,240000
125,M,0,70.08,Others,0,0,65.83,Others,Commerce,74.53,Management,0,0,None,0,0,0,69.81,Marketing & Finance,56,68,70,Placed,1,336000
126,M,0,79,Others,0,0,53,Others,Science,56,Engineering,1,0,MAT,1,89,89,65.45,Marketing & Finance,78,73,68,Placed,1,360000
127,M,0,56,CBSE,1,0,47,CBSE,Science,61.17,Management,0,0,MAT,1,46.92,46.92,62.4,Marketing & Finance,60,66,56,Placed,1,280000
128,F,1,80.32,Others,0,0,76.83,Others,Commerce,76.3,Management,0,0,MAT,1,47.31,47.31,71.15,Marketing & Finance,74,79,66,Not Placed,0,0
129,M,0,55,Others,0,0,74.67,Others,Arts,59,Computer Applications,0,2,GCET,1,50,50,60.43,Marketing & Finance,51,69,80,Placed,1,325000
