SlNo,Gender,Gender-B,Percent_SSC,Board_SSC,Board_CBSE,Board_ICSE,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Degree_Engg,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Placement,Placement_B,Salary
261,F,1,72.4,Others,0,0,55.5,CBSE,Science,82,Computer Applications,0,0,MAT,1,98,98,65.25,Marketing & Finance,67,75,76,Placed,1,240000
262,M,0,80,Others,0,0,80,Others,Commerce,64,Management,0,1,None,0,0,0,69.08,Marketing & Finance,70,74,73,Placed,1,300000
263,M,0,41,Others,0,0,51,Others,Science,61,Computer Applications,0,1,MAT,1,86,86,62.48,Marketing & Finance,59,72,75,Placed,1,340000
264,M,0,45,CBSE,1,0,55,Others,Science,54,Management,0,1,MAT,1,70,70,53.2,Marketing & Finance,53,62,53,Placed,1,250000
265,M,0,62,CBSE,1,0,64.3,CBSE,Commerce,66,Management,0,0,None,0,0,0,59.84,Marketing & HR,55,59,63,Placed,1,390000
266,M,0,56.57,Others,0,0,82.66,Others,Commerce,63.9,Commerce,0,1,MAT,1,56.15,56.15,65.99,Marketing & HR,69,58,64,Not Placed,0,0
267,M,0,81.2,CBSE,1,0,64.4,CBSE,Science,59,Engineering,1,1,MAT,1,80,80,52.72,Marketing & HR,62,67,65,Placed,1,255000
268,M,0,61.5,ICSE,0,1,57.5,ISC,Commerce,54.9,Management,0,0,MAT,1,93.4,93.4,55.03,Marketing & Finance,51,50,77,Placed,1,300000
269,M,0,75,Others,0,0,68,Others,Science,68,Computer Applications,0,0,MAT,1,60,60,61.87,Marketing & Finance,61,67,65,Not Placed,0,0
270,M,0,57,ICSE,0,1,52,Others,Commerce,62,Management,0,0,MAT,1,62,62,60.59,Marketing & HR,52,71,73,Placed,1,150000
271,M,0,84,CBSE,1,0,69,CBSE,Science,61,Engineering,1,2,MAT,1,75,75,72.29,Marketing & HR,83,62,66,Placed,1,300000
272,M,0,61,CBSE,1,0,52,Others,Science,50,Commerce,0,1,None,0,0,0,65.13,Marketing & Finance,65,70,66,Not Placed,0,0
273,M,0,55,Others,0,0,50,Others,Science,57,Management,0,0,MAT,1,49.7,49.7,59.71,Marketing & HR,64,74,54,Placed,1,270000
274,F,1,72,ICSE,0,1,57.8,Others,Science,49.8,Management,0,1,None,0,0,0,53.47,Marketing & HR,73,58,50,Placed,1,240000
275,M,0,60.6,Others,0,0,54,Others,Commerce,59.5,Management,0,0,MAT,1,57.63,57.63,62.72,Marketing & HR,63,58,58,Placed,1,180000
276,M,0,69.2,CBSE,1,0,84.6,Others,Commerce,75.25,Commerce,0,1,MAT,1,75.2,75.2,66.06,Marketing & Finance,66,74,55,Placed,1,285000
277,M,0,63.33,Others,0,0,51,Others,Commerce,58.7,Commerce,0,2,None,0,0,0,69.67,Marketing & Finance,62,65,81,Placed,1,400000
278,M,0,58,Others,0,0,62,Others,Science,58,Engineering,1,0,MAT,1,75,75,66.46,Marketing & Finance,63,61,65,Placed,1,500000
279,F,1,62.16,ICSE,0,1,67.5,ISC,Commerce,57.35,Commerce,0,0,MAT,1,53.04,53.04,65.52,Marketing & Finance,63,74,56,Placed,1,250000
280,M,0,46,Others,0,0,58,Others,Commerce,49,Commerce,0,1,None,0,0,0,56.78,Marketing & HR,56,75,70,Placed,1,300000
281,F,1,60,CBSE,1,0,44,Others,Science,67,Management,0,0,None,0,0,0,67.06,Marketing & HR,72,62,73,Placed,1,240000
282,M,0,59,ICSE,0,1,81,Others,Commerce,70,Commerce,0,0,None,0,0,0,71.86,Marketing & Finance,79,73,66,Placed,1,300000
283,M,0,87.2,Others,0,0,67.5,Others,Science,60.31,Engineering,1,1,K-MAT,1,88,88,70.1,Marketing & HR,69,77,73,Placed,1,240000
284,F,1,68.3,ICSE,0,1,86.33,Others,Commerce,80,Management,0,0,MAT,1,80,80,74.56,Marketing & Finance,71,74,77,Not Placed,0,0
285,M,0,55.84,ICSE,0,1,54,ISC,Arts,57,Management,0,1,PGCET,1,0,0,54.99,Marketing & HR,50,61,50,Not Placed,0,0
286,M,0,54,Others,0,0,54,Others,Commerce,54,Management,0,1,MAT,1,63,63,52.38,Marketing & HR,53,58,56,Placed,1,240000
287,M,0,75.9,Others,0,0,70,Others,Science,73,Engineering,1,1,MAT,1,58.1,58.1,75.71,Marketing & Finance,70,74,71,Not Placed,0,0
288,M,0,77,CBSE,1,0,69.2,CBSE,Commerce,61,Commerce,0,0,None,0,0,0,57.16,Marketing & HR,58,56,63,Not Placed,0,0
289,F,1,51,CBSE,1,0,56,CBSE,Commerce,62,Commerce,0,1,MAT,1,60,60,58.79,Marketing & HR,61,65,82,Not Placed,0,0
290,M,0,64.96,Others,0,0,45.16,Others,Science,65.26,Computer Applications,0,1,MAT,1,54.48,54.48,65.48,Marketing & HR,69,75,61,Not Placed,0,0
291,F,1,71.4,Others,0,0,75.2,Others,Commerce,64,Management,0,0,MAT,1,58.06,58.06,69.28,Marketing & HR,61,78,64,Not Placed,0,0
292,M,0,75,CBSE,1,0,60,CBSE,Science,69,Computer Applications,0,1,CAT,1,80,80,66.39,Marketing & Finance,60,71,68,Placed,1,476000
293,M,0,77,Others,0,0,77,Others,Commerce,70,Commerce,0,1,MAT,1,63.79,63.79,66.04,Marketing & Finance,64,72,59,Placed,1,290000
294,M,0,60,CBSE,1,0,80,Others,Commerce,84,Commerce,0,0,K-MAT,1,95.5,95.5,72.97,Marketing & HR,83,76,74,Placed,1,690000
295,M,0,68,Others,0,0,50,Others,Commerce,50,Commerce,0,0,MAT,1,84,84,52.64,Marketing & HR,50,62,56,Placed,1,300000
296,M,0,78,Others,0,0,73,Others,Commerce,68,Commerce,0,0,MAT,1,49,49,64.79,Marketing & Finance,73,70,73,Placed,1,250000
297,F,1,55,Others,0,0,57,Others,Science,57,Science,0,1,MAT,1,67,67,59.32,Marketing & HR,50,67,59,Placed,1,162000
298,F,1,67.67,ICSE,0,1,75,Others,Commerce,67.8,Commerce,0,0,MAT,1,49.94,49.94,67.44,Marketing & Finance,72,66,69,Not Placed,0,0
299,F,1,81,CBSE,1,0,81,CBSE,Commerce,82.2,Management,0,0,None,0,0,0,66.9,Marketing & Finance,68,68,76,Placed,1,260000
300,M,0,70.24,Others,0,0,42.83,Others,Science,60.27,Engineering,1,2,MAT,1,64,64,66.23,Marketing & Finance,65,82,79,Placed,1,500000
301,M,0,68,Others,0,0,67,Others,Science,69,Engineering,1,0,MAT,1,87.5,87.5,60.69,Marketing & IB,61,71,57,Not Placed,0,0
302,F,1,51,CBSE,1,0,52,Others,Commerce,50,Management,0,0,MAT,1,55,55,57.9,Marketing & HR,66,69,77,Placed,1,220000
303,M,0,60.6,CBSE,1,0,66.6,CBSE,Commerce,55.7,Management,0,0,K-MAT,1,76.2,76.2,58.67,Marketing & HR,54,66,57,Placed,1,270000
304,F,1,70,ICSE,0,1,94,Others,Commerce,77,Commerce,0,2,MAT,1,89,89,70.81,Marketing & Finance,73,68,80,Placed,1,650000
305,M,0,63,Others,0,0,48,Others,Science,64,Computer Applications,0,0,MAT,1,73,73,68.07,Marketing & HR,66,70,75,Placed,1,350000
306,M,0,48,CBSE,1,0,63,CBSE,Commerce,59.7,Commerce,0,0,MAT,1,44.2,44.2,62,Marketing & Finance,52,69,75,Placed,1,300000
307,F,1,85.8,CBSE,1,0,69,CBSE,Science,68.2,Engineering,1,0,MAT,1,75.5,75.5,72.14,Marketing & HR,74,78,69,Not Placed,0,0
308,M,0,60,CBSE,1,0,66.5,Others,Commerce,56.8,Management,0,1,MAT,1,57,57,56.6,Marketing & Finance,50,72,65,Placed,1,265000
309,M,0,71,Others,0,0,59,CBSE,Commerce,63,Commerce,0,1,MAT,1,35,35,54.04,Marketing & HR,56,65,50,Placed,1,180000
310,M,0,67,ICSE,0,1,65.33,Others,Science,68.21,Engineering,1,0,MAT,1,63,63,60.02,Marketing & HR,76,62,77,Not Placed,0,0
311,F,1,67,ICSE,0,1,71,Others,Commerce,65,Commerce,0,0,K-MAT,1,62,62,64.28,Marketing & HR,56,77,83,Placed,1,300000
312,F,1,76,Others,0,0,50,Others,Science,75,Computer Applications,0,1,None,0,0,0,66,Marketing & HR,60,66,75,Placed,1,300000
313,F,1,69,Others,0,0,55,Others,Commerce,61,Commerce,0,1,XAT,1,74,74,68.68,Marketing & Finance,63,79,74,Placed,1,300000
314,F,1,60,Others,0,0,57,Others,Science,60,Science,0,0,None,0,0,0,59.15,Marketing & Finance,50,65,63,Placed,1,220000
315,F,1,68,Others,0,0,48,Others,Science,72,Computer Applications,0,0,None,0,0,0,63.83,Marketing & HR,58,64,81,Not Placed,0,0
316,M,0,52,CBSE,1,0,49,CBSE,Commerce,66,Commerce,0,0,PGCET,1,0,0,54.12,Marketing & IB,51,72,63,Placed,1,240000
317,M,0,57,Others,0,0,73,Others,Arts,59,Arts,0,1,MAT,1,75,75,59.81,Marketing & Finance,53,67,62,Not Placed,0,0
318,F,1,37.3,Others,0,0,44.4,Others,Commerce,35,Commerce,0,0,None,0,0,0,61.66,Marketing & Finance,62,66,69,Not Placed,0,0
319,M,0,60,CBSE,1,0,74,CBSE,Commerce,65,Management,0,0,MAT,1,60,60,61.82,Marketing & HR,57,72,50,Placed,1,276000
320,M,0,78,Others,0,0,70,CBSE,Science,57,Engineering,1,1,None,0,0,0,66.28,Marketing & HR,75,70,59,Placed,1,250000
321,F,1,79.68,Others,0,0,63.5,Others,Science,60,Engineering,1,0,None,0,0,0,67.96,Marketing & HR,64,64,79,Placed,1,180000
322,F,1,61.28,Others,0,0,70.83,Others,Commerce,63.79,Management,0,0,MAT,1,60,60,57.29,Marketing & HR,54,67,69,Not Placed,0,0
323,F,1,85,ICSE,0,1,67,CBSE,Science,76,Arts,0,0,MAT,1,82,82,71.43,Marketing & HR,68,75,80,Placed,1,252000
324,F,1,55,ICSE,0,1,69,ISC,Commerce,65,Commerce,0,0,MAT,1,55,55,62.93,Marketing & Finance,50,75,66,Not Placed,0,0
325,M,0,75.5,ICSE,0,1,60.5,ISC,Science,63,Engineering,1,1,MAT,1,95,95,64.86,Marketing & Finance,68,81,70,Placed,1,280000
326,M,0,66.8,Others,0,0,50,Others,Commerce,56.38,Commerce,0,1,MAT,1,57,57,56.13,Marketing & Finance,50,69,69,Not Placed,0,0
327,F,1,77,Others,0,0,82,Others,Commerce,75,Commerce,0,0,CAT,1,60,60,66.63,Marketing & Finance,64,77,62,Placed,1,350000
328,F,1,59,ICSE,0,1,85.6,Others,Commerce,75.2,Management,0,0,MAT,1,95.65,95.65,66.94,Marketing & Finance,73,66,63,Not Placed,0,0
329,M,0,65,ICSE,0,1,65,ISC,Science,75,Computer Applications,0,0,K-MAT,1,93,93,63.94,Marketing & HR,73,73,56,Not Placed,0,0
330,F,1,69,Others,0,0,78.2,CBSE,Commerce,65,Management,0,0,MAT,1,50,50,62.5,Marketing & Finance,65,63,59,Not Placed,0,0
331,F,1,84,Others,0,0,77,Others,Commerce,80,Commerce,0,0,None,0,0,0,66.61,Marketing & Finance,70,77,83,Placed,1,216000
332,M,0,63.68,Others,0,0,58.19,Others,Commerce,72.24,Commerce,0,0,MAT,1,36.56,36.56,66.18,Marketing & Finance,71,73,63,Not Placed,0,0
333,M,0,62,Others,0,0,53,ISC,Science,68,Management,0,0,MAT,1,72,72,61.01,Marketing & Finance,53,72,63,Placed,1,264000
334,M,0,60.2,CBSE,1,0,56.4,CBSE,Commerce,58.8,Management,0,1,MAT,1,93.4,93.4,57.34,Marketing & Finance,60,68,57,Placed,1,270000
335,F,1,52,CBSE,1,0,58,CBSE,Arts,50,Arts,0,2,MAT,1,80,80,56.63,Marketing & HR,51,70,67,Placed,1,300000
336,M,0,57,Others,0,0,60,Others,Commerce,60.3,Management,0,0,MAT,1,59,59,64.74,Marketing & Finance,67,66,59,Not Placed,0,0
337,M,0,61,ICSE,0,1,73,ISC,Commerce,68,Commerce,0,1,MAT,1,84,84,58.95,Marketing & HR,50,59,59,Placed,1,275000
338,M,0,56,ICSE,0,1,58,ISC,Commerce,67,Management,0,0,None,0,0,0,65.28,Marketing & Finance,62,77,77,Not Placed,0,0
339,M,0,75,Others,0,0,56,Others,Commerce,53,Management,0,0,K-MAT,1,85,85,54.5,Marketing & Finance,52,50,50,Placed,1,300000
340,M,0,67,Others,0,0,55,Others,Science,75.5,Computer Applications,0,1,MAT,1,78,78,54.48,Marketing & Finance,53,68,77,Placed,1,250000
341,F,1,80.96,Others,0,0,45,Others,Science,89,Computer Applications,0,0,MAT,1,59.32,59.32,69.71,Marketing & HR,76,77,66,Placed,1,260000
342,F,1,75,ICSE,0,1,78,ISC,Commerce,71,Others,0,2,MAT,1,88,88,71.96,Marketing & HR,66,77,78,Placed,1,185000
343,F,1,61,ICSE,0,1,76,ISC,Arts,48,Arts,0,0,MAT,1,79,79,63.91,Marketing & HR,56,61,60,Placed,1,216000
344,F,1,56,ICSE,0,1,74.6,ISC,Commerce,60.2,Commerce,0,2,None,0,0,0,63.53,Marketing & Finance,65,76,80,Not Placed,0,0
345,M,0,64,Others,0,0,60,Others,Commerce,51,Management,0,0,MAT,1,73,73,55.8,Marketing & IB,56,57,53,Placed,1,265000
346,M,0,64,Others,0,0,52,Others,Commerce,61,Management,0,0,MAT,1,87.55,87.55,52.81,Marketing & Finance,54,60,67,Placed,1,300000
347,M,0,78,Others,0,0,47,Others,Science,53,Engineering,1,0,K-MAT,1,84,84,56.12,Marketing & Finance,60,66,68,Placed,1,325000
348,M,0,74.81,ICSE,0,1,75.32,ISC,Commerce,48.23,Commerce,0,0,MAT,1,83,83,53.37,Marketing & Finance,54,60,53,Placed,1,267000
349,F,1,66,ICSE,0,1,80,ISC,Commerce,64,Management,0,0,None,0,0,0,62.95,Marketing & Finance,65,71,54,Placed,1,264000
350,M,0,59.2,CBSE,1,0,68,Others,Science,60,Management,0,1,MAT,1,79,79,58.44,Marketing & HR,52,64,63,Not Placed,0,0
351,M,0,65,CBSE,1,0,55,ISC,Science,60,Science,0,0,MAT,1,61.28,61.28,60.11,Marketing & HR,62,72,65,Placed,1,240000
352,F,1,84,ICSE,0,1,87,ISC,Commerce,75,Management,0,0,CAT,1,80,80,72.21,Marketing & Finance,79,67,64,Not Placed,0,0
353,M,0,47.68,Others,0,0,53.33,Others,Commerce,50.87,Management,0,0,MAT,1,66,66,58.3,Marketing & HR,50,59,50,Placed,1,260000
354,F,1,63,CBSE,1,0,58,CBSE,Commerce,69,Commerce,0,0,CAT,1,63,63,69.12,Marketing & Finance,57,77,78,Placed,1,240000
355,M,0,56,Others,0,0,42,ISC,Science,59,Computer Applications,0,2,None,0,0,0,51.48,Marketing & Finance,50,53,55,Not Placed,0,0
356,M,0,44.4,Others,0,0,60.6,Others,Commerce,61,Management,0,0,K-MAT,1,63,63,56.98,Marketing & Finance,52,62,54,Placed,1,250000
357,F,1,66.5,ICSE,0,1,58.8,Others,Science,57.8,Management,0,0,CAT,1,60,60,63.42,Marketing & HR,74,69,51,Placed,1,180000
358,F,1,76,ICSE,0,1,82,ISC,Commerce,70.8,Commerce,0,1,None,0,0,0,69.52,Marketing & Finance,69,74,71,Placed,1,366000
359,F,1,71,Others,0,0,70,Others,Commerce,69,Management,0,2,MAT,1,80,80,67.69,Marketing & Finance,84,70,73,Placed,1,210000
360,M,0,37,Others,0,0,53,Others,Commerce,60,Commerce,0,0,MAT,1,48,48,52.64,Marketing & IB,57,71,58,Placed,1,250000
361,M,0,56,Others,0,0,57,Others,Commerce,59,Commerce,0,0,MAT,1,62,62,56.81,Marketing & Finance,50,73,50,Placed,1,250000
362,M,0,82,Others,0,0,72,Others,Commerce,66,Commerce,0,0,MAT,1,26.53,26.53,60.39,Marketing & Finance,72,56,62,Placed,1,426000
363,M,0,72,Others,0,0,49,Others,Commerce,47,Commerce,0,1,MAT,1,98,98,60.04,Marketing & Finance,50,60,62,Placed,1,270000
364,M,0,44,CBSE,1,0,45,CBSE,Science,64,Management,0,0,MAT,1,97,97,53.39,Marketing & Finance,60,58,58,Not Placed,0,0
365,M,0,80.33,ICSE,0,1,75,Others,Commerce,55,Commerce,0,1,MAT,1,88.56,88.56,71.55,Marketing & Finance,74,77,54,Placed,1,300000
366,M,0,49.3,Others,0,0,49,Others,Science,54,Commerce,0,0,K-MAT,1,64,64,56.45,Marketing & HR,58,66,69,Placed,1,132000
367,F,1,46,CBSE,1,0,65,Others,Science,71,Management,0,0,MAT,1,92.66,92.66,62.92,Marketing & HR,55,71,82,Placed,1,144000
368,M,0,60,ICSE,0,1,65,Others,Science,67,Arts,0,1,None,0,0,0,55.4,Marketing & HR,50,67,50,Placed,1,220000
369,M,0,54,CBSE,1,0,67,CBSE,Commerce,61,Management,0,0,MAT,1,67,67,56.49,Marketing & Finance,53,71,74,Placed,1,216000
370,M,0,77.6,Others,0,0,79,Others,Commerce,75.6,Commerce,0,0,MAT,1,91,91,74.49,Marketing & Finance,85,85,83,Placed,1,400000
371,M,0,50,Others,0,0,52,Others,Science,70,Computer Applications,0,0,MAT,1,74,74,53.62,Marketing & Finance,50,74,50,Placed,1,275000
372,M,0,62,Others,0,0,62,Others,Commerce,71,Commerce,0,3,MAT,1,59,59,69.72,Marketing & Finance,63,71,61,Placed,1,295000
373,M,0,72.64,Others,0,0,47.34,Others,Science,83.33,Computer Applications,0,0,CAT,1,73,73,65.8,Marketing & HR,72,75,78,Placed,1,360000
374,F,1,69,Others,0,0,61,Others,Commerce,52,Commerce,0,0,MAT,1,70,70,60.23,Marketing & HR,59,61,60,Placed,1,204000
375,F,1,52,Others,0,0,52.8,Others,Commerce,59.52,Management,0,0,MAT,1,33.91,33.91,62.42,Marketing & Finance,68,68,66,Not Placed,0,0
376,M,0,67,ICSE,0,1,63,Others,Science,55,Management,0,0,MAT,1,89,89,60.22,Marketing & HR,66,63,61,Not Placed,0,0
377,M,0,46,CBSE,1,0,54,Others,Commerce,65,Management,0,0,MAT,1,71.32,71.32,52.36,Marketing & Finance,50,72,58,Not Placed,0,0
378,M,0,65.92,Others,0,0,86,Others,Commerce,72,Commerce,0,1,K-MAT,1,66,66,66.22,Marketing & Finance,80,63,55,Placed,1,350000
379,M,0,53.8,Others,0,0,46.3,Others,Science,66.1,Management,0,0,MAT,1,30.71,30.71,56,Marketing & Finance,53,55,55,Not Placed,0,0
380,F,1,85.8,CBSE,1,0,85,CBSE,Science,88.8,Management,0,0,MAT,1,96.16,96.16,77.3,Marketing & HR,88,80,63,Placed,1,300000
381,M,0,53.4,ICSE,0,1,54.2,CBSE,Commerce,54,Computer Applications,0,0,MAT,1,0,0,53.19,Marketing & Finance,53,68,62,Placed,1,180000
382,M,0,67,Others,0,0,76,Others,Commerce,60,Management,0,0,MAT,1,48.38,48.38,50.83,Marketing & HR,54,57,51,Not Placed,0,0
383,F,1,58.29,Others,0,0,55,Others,Science,61,Management,0,0,K-MAT,1,71,71,56.81,Marketing & Finance,64,66,57,Not Placed,0,0
384,M,0,61,Others,0,0,53,Others,Commerce,65,Management,0,0,MAT,1,46.47,46.47,59.14,Marketing & HR,54,69,57,Not Placed,0,0
385,M,0,67.2,Others,0,0,69.29,Others,Commerce,56,Computer Applications,0,0,G-SAT,1,0,0,61,Marketing & Finance,58,63,67,Placed,1,252000
386,M,0,70,CBSE,1,0,55,Others,Science,72,Management,0,0,CAT,1,50,50,67.94,Marketing & Finance,77,70,54,Not Placed,0,0
387,M,0,62.6,Others,0,0,50.6,Others,Commerce,52,Management,0,0,MAT,1,34.53,34.53,58.63,Marketing & HR,62,57,56,Placed,1,162000
388,M,0,77,Others,0,0,49.5,Others,Science,64,Management,0,0,MAT,1,50.53,50.53,59.5,Marketing & Finance,70,59,56,Placed,1,450000
389,M,0,66.4,Others,0,0,72,Others,Commerce,57,Management,0,0,MAT,1,60,60,61.63,Marketing & IB,73,73,54,Placed,1,240000
390,F,1,70,ICSE,0,1,77,ISC,Commerce,53,Commerce,0,0,MAT,1,77,77,70.17,Marketing & Finance,67,77,57,Placed,1,300000
391,M,0,74,Others,0,0,85,Others,Commerce,60,Commerce,0,0,MAT,1,58.89,58.89,60.36,Marketing & Finance,64,67,63,Not Placed,0,0
